 TV_Advertising_Spend , Billboard_Advertising_Spend , Google_Ads_Spend , Social_Media_Advertising_Spend , Influencer_Marketing_Spend , Affiliate_Marketing_Spend , Product_Sold 
 $632.93 , $653.66 , $251.56 , $734.00 , $879.12 , $138.78 ," $7,048.00 "
 $961.72 , $801.42 , $247.44 , $562.54 , $772.64 , $762.27 ," $10,094.00 "
 $677.28 , $651.75 , $68.23 , $569.20 , $100.51 , $515.51 ," $7,003.00 "
 $8.84 , $416.59 , $716.00 , $949.21 , $624.59 , $623.31 ," $7,966.00 "
 $269.46 , $304.74 , $221.85 , $57.73 , $669.73 , $641.68 ," $5,292.00 "
 $1.04 , $19.68 , $900.71 , $55.67 , $379.03 , $63.10 ," $2,259.00 "
 $236.32 , $172.26 , $936.65 , $48.26 , $293.03 , $582.58 ," $5,191.00 "
 $639.02 , $873.20 , $972.38 , $961.58 , $761.14 , $307.13 ," $9,889.00 "
 $846.02 , $919.07 , $403.48 , $429.08 , $24.80 , $632.37 ," $8,687.00 "
 $330.77 , $248.54 , $161.30 , $779.52 , $310.61 , $661.73 ," $6,613.00 "
 $533.60 , $633.38 , $605.78 , $906.55 , $332.73 , $312.64 ," $7,784.00 "
 $16.19 , $678.98 , $522.05 , $644.91 , $41.61 , $743.54 ," $7,455.00 "
 $259.43 , $329.67 , $656.14 , $914.94 , $703.49 , $662.19 ," $8,277.00 "
 $875.12 , $384.08 , $808.14 , $552.05 , $616.29 , $605.12 ," $8,659.00 "
 $333.54 , $796.11 , $516.83 , $794.89 , $193.18 , $481.94 ," $7,970.00 "
 $637.70 , $33.55 , $582.05 , $753.24 , $307.22 , $525.68 ," $6,595.00 "
 $670.31 , $26.73 , $522.02 , $440.71 , $105.33 , $275.16 ," $4,519.00 "
 $398.07 , $611.35 , $333.33 , $160.58 , $952.81 , $438.19 ," $6,430.00 "
 $207.49 , $417.62 , $331.30 , $484.32 , $849.61 , $845.14 ," $7,782.00 "
 $620.28 , $290.29 , $118.69 , $436.82 , $803.95 , $294.96 ," $5,507.00 "
 $590.98 , $3.63 , $486.88 , $95.81 , $119.34 , $409.45 ," $3,956.00 "
 $341.21 , $535.35 , $820.88 , $44.73 , $730.23 , $807.56 ," $7,737.00 "
 $515.56 , $765.58 , $670.14 , $79.95 , $525.43 , $609.28 ," $7,585.00 "
 $711.36 , $84.09 , $52.43 , $907.89 , $744.53 , $85.62 ," $5,279.00 "
 $493.47 , $326.11 , $546.03 , $406.79 , $492.74 , $610.50 ," $6,838.00 "
 $966.54 , $617.80 , $850.09 , $731.43 , $999.83 , $354.16 ," $9,498.00 "
 $362.64 , $54.75 , $754.27 , $888.38 , $574.96 , $324.74 ," $6,238.00 "
 $251.50 , $937.55 , $330.19 , $277.28 , $411.96 , $336.40 ," $6,356.00 "
 $410.44 , $608.41 , $719.84 , $907.29 , $84.35 , $681.15 ," $8,806.00 "
 $836.78 , $395.37 , $26.66 , $152.38 , $786.10 , $738.40 ," $7,175.00 "
 $60.41 , $884.67 , $892.10 , $576.07 , $74.29 , $704.23 ," $8,472.00 "
 $226.56 , $802.92 , $55.51 , $300.17 , $6.18 , $141.23 ," $4,279.00 "
 $117.94 , $635.13 , $238.60 , $364.03 , $324.37 , $497.95 ," $5,787.00 "
 $590.38 , $541.99 , $468.96 , $559.48 , $688.64 , $271.46 ," $6,827.00 "
 $255.61 , $637.59 , $496.61 , $203.09 , $614.44 , $206.61 ," $5,235.00 "
 $428.43 , $12.55 , $145.97 , $512.33 , $853.58 , $196.52 ," $4,212.00 "
 $149.78 , $191.97 , $558.87 , $172.98 , $412.79 , $178.45 ," $3,335.00 "
 $328.07 , $782.75 , $172.69 , $313.47 , $124.85 , $453.17 ," $6,026.00 "
 $795.28 , $970.21 , $968.39 , $857.64 , $255.73 , $149.39 ," $9,011.00 "
 $72.75 , $880.44 , $239.08 , $949.07 , $902.65 , $148.75 ," $7,192.00 "
 $132.99 , $757.70 , $167.64 , $230.73 , $297.79 , $886.06 ," $7,282.00 "
 $284.00 , $556.77 , $96.05 , $116.79 , $694.57 , $559.16 ," $5,744.00 "
 $36.04 , $925.81 , $822.63 , $531.67 , $57.51 , $218.46 ," $6,348.00 "
 $599.92 , $832.48 , $116.60 , $296.04 , $970.38 , $415.97 ," $7,425.00 "
 $994.40 , $785.92 , $159.25 , $381.83 , $296.66 , $892.39 ," $9,473.00 "
 $36.04 , $423.25 , $166.91 , $222.02 , $598.43 , $247.19 ," $3,878.00 "
 $475.17 , $380.97 , $460.06 , $642.39 , $220.00 , $376.20 ," $6,144.00 "
 $587.02 , $361.02 , $694.24 , $329.66 , $797.70 , $313.53 ," $6,324.00 "
 $781.15 , $552.75 , $174.21 , $601.86 , $777.93 , $366.76 ," $7,383.00 "
 $472.43 , $114.31 , $565.10 , $905.36 , $405.67 , $185.11 ," $5,620.00 "
 $54.08 , $736.44 , $997.23 , $735.75 , $9.53 , $71.72 ," $5,940.00 "
 $274.30 , $333.08 , $614.05 , $620.32 , $174.87 , $574.23 ," $6,519.00 "
 $906.84 , $187.21 , $676.99 , $655.50 , $321.59 , $632.86 ," $7,964.00 "
 $855.78 , $620.44 , $763.26 , $385.05 , $461.73 , $58.23 ," $6,456.00 "
 $269.01 , $390.09 , $860.02 , $944.26 , $607.55 , $277.63 ," $7,174.00 "
 $52.01 , $177.25 , $174.17 , $686.41 , $618.69 , $234.05 ," $4,278.00 "
 $610.15 , $995.32 , $757.92 , $622.36 , $241.99 , $910.61 ," $10,841.00 "
 $387.72 , $256.08 , $791.75 , $40.60 , $822.03 , $342.00 ," $5,185.00 "
 $328.11 , $183.13 , $850.23 , $461.40 , $345.20 , $489.56 ," $6,005.00 "
 $890.01 , $373.28 , $623.96 , $228.75 , $314.52 , $224.78 ," $5,681.00 "
 $167.14 , $943.57 , $820.53 , $455.00 , $131.76 , $363.92 ," $7,130.00 "
 $668.24 , $798.99 , $171.95 , $283.05 , $546.02 , $677.84 ," $8,078.00 "
 $249.80 , $487.18 , $922.77 , $18.49 , $510.91 , $837.58 ," $7,339.00 "
 $188.82 , $129.27 , $230.43 , $464.89 , $389.11 , $748.99 ," $5,728.00 "
 $383.98 , $654.54 , $678.22 , $651.29 , $415.85 , $411.91 ," $7,529.00 "
 $649.53 , $795.64 , $533.72 , $510.37 , $485.43 , $608.69 ," $8,775.00 "
 $519.08 , $493.10 , $375.53 , $579.99 , $491.61 , $255.77 ," $6,163.00 "
 $920.06 , $668.16 , $771.18 , $37.54 , $107.77 , $765.11 ," $8,281.00 "
 $754.81 , $590.70 , $655.69 , $228.98 , $495.76 , $821.56 ," $8,724.00 "
 $936.41 , $624.97 , $178.87 , $99.33 , $899.69 , $423.56 ," $7,054.00 "
 $257.56 , $524.15 , $414.80 , $828.40 , $544.84 , $733.99 ," $8,366.00 "
 $584.41 , $98.11 , $55.77 , $656.00 , $313.47 , $972.78 ," $7,455.00 "
 $191.11 , $438.26 , $529.17 , $479.65 , $299.81 , $34.17 ," $4,165.00 "
 $147.89 , $256.28 , $444.81 , $77.17 , $736.17 , $937.95 ," $6,559.00 "
 $594.03 , $255.60 , $411.98 , $208.80 , $101.10 , $723.18 ," $6,104.00 "
 $626.96 , $160.57 , $823.18 , $650.20 , $662.36 , $933.53 ," $9,144.00 "
 $139.72 , $831.04 , $843.23 , $654.59 , $325.38 , $30.01 ," $6,176.00 "
 $975.65 , $306.30 , $835.84 , $332.31 , $261.19 , $435.60 ," $7,019.00 "
 $811.16 , $115.99 , $36.91 , $48.41 , $616.23 , $365.65 ," $4,344.00 "
 $217.94 , $588.90 , $811.95 , $617.71 , $922.97 , $525.86 ," $8,175.00 "
 $783.39 , $185.17 , $997.60 , $578.32 , $811.54 , $119.33 ," $6,522.00 "
 $524.13 , $762.87 , $327.47 , $236.32 , $128.59 , $817.47 ," $7,848.00 "
 $374.53 , $344.97 , $553.30 , $589.08 , $649.84 , $984.50 ," $8,816.00 "
 $506.05 , $293.98 , $145.94 , $299.63 , $819.33 , $20.55 ," $3,947.00 "
 $111.67 , $325.81 , $846.96 , $823.89 , $815.57 , $537.87 ," $7,666.00 "
 $807.13 , $127.07 , $596.90 , $886.41 , $618.66 , $26.23 ," $5,957.00 "
 $251.03 , $553.97 , $571.47 , $91.90 , $233.84 , $205.21 ," $4,358.00 "
 $314.41 , $67.43 , $296.51 , $728.87 , $494.04 , $374.83 ," $5,199.00 "
 $347.01 , $103.13 , $275.40 , $711.14 , $23.83 , $138.33 ," $3,779.00 "
 $130.31 , $663.36 , $865.77 , $477.86 , $7.27 , $122.80 ," $5,235.00 "
 $46.41 , $760.80 , $137.61 , $493.29 , $727.95 , $34.15 ," $4,824.00 "
 $106.55 , $181.42 , $343.32 , $581.93 , $664.95 , $600.27 ," $5,934.00 "
 $866.83 , $327.32 , $20.61 , $354.38 , $834.56 , $638.98 ," $7,180.00 "
 $143.05 , $722.70 , $141.99 , $953.58 , $48.53 , $797.64 ," $8,297.00 "
 $428.61 , $610.14 , $959.11 , $583.57 , $524.53 , $617.94 ," $8,683.00 "
 $70.41 , $957.97 , $459.46 , $384.30 , $624.25 , $325.35 ," $6,724.00 "
 $981.93 , $6.37 , $686.03 , $398.59 , $177.39 , $912.46 ," $7,869.00 "
 $482.12 , $964.76 , $408.23 , $284.39 , $497.79 , $30.48 ," $5,897.00 "
 $952.76 , $419.16 , $154.41 , $325.73 , $696.88 , $839.26 ," $8,396.00 "
 $671.40 , $440.07 , $891.20 , $496.54 , $168.10 , $693.94 ," $8,230.00 "
 $945.81 , $130.71 , $138.81 , $289.98 , $113.67 , $528.82 ," $5,476.00 "
 $769.35 , $155.06 , $481.46 , $769.67 , $87.96 , $132.67 ," $5,280.00 "
 $810.69 , $34.08 , $738.91 , $962.41 , $77.52 , $581.26 ," $7,659.00 "
 $913.39 , $157.33 , $463.79 , $946.40 , $13.05 , $406.30 ," $7,006.00 "
 $141.90 , $152.56 , $943.03 , $410.78 , $185.91 , $661.03 ," $6,045.00 "
 $4.33 , $593.79 , $71.45 , $454.60 , $980.12 , $295.33 ," $5,386.00 "
 $224.05 , $637.58 , $183.57 , $184.65 , $264.44 , $87.95 ," $3,765.00 "
 $930.75 , $560.91 , $727.85 , $166.23 , $961.25 , $919.77 ," $9,874.00 "
 $479.78 , $387.17 , $447.56 , $226.57 , $527.56 , $676.01 ," $6,693.00 "
 $904.41 , $309.92 , $892.82 , $39.88 , $675.50 , $451.65 ," $6,797.00 "
 $649.56 , $473.91 , $390.02 , $660.73 , $565.49 , $978.82 ," $9,540.00 "
 $811.14 , $506.90 , $860.52 , $123.44 , $96.87 , $189.13 ," $5,606.00 "
 $858.89 , $724.24 , $890.81 , $472.84 , $74.94 , $662.99 ," $9,156.00 "
 $642.89 , $203.27 , $769.51 , $475.05 , $732.54 , $150.62 ," $5,729.00 "
 $978.38 , $847.76 , $438.63 , $151.49 , $155.02 , $6.74 ," $5,735.00 "
 $560.02 , $772.26 , $349.56 , $996.16 , $360.70 , $757.59 ," $9,901.00 "
 $237.20 , $299.47 , $798.66 , $268.19 , $100.13 , $828.94 ," $6,667.00 "
 $461.89 , $638.91 , $566.40 , $48.00 , $677.84 , $907.75 ," $8,248.00 "
 $928.46 , $525.72 , $584.62 , $709.57 , $351.45 , $392.49 ," $8,098.00 "
 $529.95 , $191.30 , $89.94 , $28.84 , $507.41 , $256.91 ," $3,473.00 "
 $723.93 , $437.97 , $54.43 , $877.91 , $454.95 , $791.16 ," $8,753.00 "
 $502.27 , $606.10 , $113.80 , $589.36 , $359.02 , $878.20 ," $8,391.00 "
 $152.72 , $72.90 , $746.80 , $295.79 , $708.24 , $274.36 ," $4,333.00 "
 $920.76 , $365.45 , $142.95 , $416.52 , $875.27 , $365.21 ," $6,708.00 "
 $48.31 , $555.19 , $305.47 , $753.44 , $174.50 , $139.46 ," $4,878.00 "
 $622.53 , $104.12 , $565.10 , $584.88 , $332.65 , $574.30 ," $6,561.00 "
 $781.27 , $786.72 , $132.53 , $557.25 , $486.25 , $619.96 ," $8,574.00 "
 $44.77 , $462.32 , $137.03 , $466.47 , $897.51 , $546.68 ," $6,110.00 "
 $777.10 , $202.09 , $699.92 , $244.74 , $471.08 , $920.77 ," $8,088.00 "
 $945.34 , $825.89 , $772.20 , $677.43 , $401.26 , $837.18 ," $11,062.00 "
 $993.92 , $283.52 , $528.13 , $578.70 , $529.23 , $80.86 ," $6,026.00 "
 $867.03 , $842.62 , $524.35 , $861.16 , $57.55 , $833.93 ," $10,585.00 "
 $808.06 , $485.57 , $974.78 , $811.90 , $103.54 , $436.00 ," $8,429.00 "
 $838.61 , $472.36 , $451.52 , $852.62 , $34.90 , $664.99 ," $8,609.00 "
 $993.84 , $276.72 , $405.45 , $334.76 , $95.30 , $398.06 ," $5,970.00 "
 $178.84 , $213.36 , $752.21 , $42.51 , $156.04 , $419.79 ," $4,089.00 "
 $380.57 , $108.41 , $592.38 , $723.51 , $524.08 , $177.85 ," $5,132.00 "
 $858.69 , $922.49 , $694.91 , $121.48 , $368.16 , $788.05 ," $9,431.00 "
 $696.38 , $590.16 , $651.28 , $202.29 , $51.87 , $956.28 ," $8,533.00 "
 $408.35 , $581.63 , $205.67 , $712.51 , $102.98 , $534.60 ," $6,912.00 "
 $265.94 , $768.47 , $756.80 , $891.25 , $481.10 , $179.55 ," $7,495.00 "
 $480.67 , $135.75 , $82.66 , $217.72 , $217.90 , $15.41 ," $2,353.00 "
 $746.29 , $925.80 , $988.98 , $229.34 , $282.95 , $449.15 ," $8,488.00 "
 $640.69 , $966.63 , $624.12 , $948.97 , $480.16 , $651.31 ," $10,655.00 "
 $990.33 , $642.99 , $823.74 , $986.35 , $422.92 , $14.64 ," $8,169.00 "
 $384.82 , $879.57 , $735.47 , $872.34 , $371.94 , $41.79 ," $7,308.00 "
 $355.88 , $450.45 , $883.78 , $362.08 , $757.46 , $403.82 ," $6,828.00 "
 $958.24 , $771.17 , $69.46 , $868.58 , $649.50 , $773.38 ," $10,387.00 "
 $40.81 , $863.64 , $580.23 , $852.48 , $548.47 , $725.71 ," $9,244.00 "
 $225.69 , $971.12 , $357.07 , $932.19 , $165.56 , $307.40 ," $7,656.00 "
 $138.83 , $389.62 , $804.53 , $587.20 , $436.57 , $95.75 ," $5,029.00 "
 $79.68 , $657.09 , $738.08 , $360.38 , $145.03 , $827.38 ," $7,617.00 "
 $594.84 , $79.44 , $172.14 , $622.86 , $795.00 , $909.79 ," $7,850.00 "
 $947.72 , $653.82 , $879.45 , $979.08 , $304.11 , $92.45 ," $8,366.00 "
